robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
2.0,0.267,0.47,0.1,0.43,197.93,15.0,50.0,50.0,1,45,4.0,0,0,0.0,0,360.0,0.0151,1250.0,2.3219,2,0.2932,1.0,0.0029,0.0,0.0,0.0,0,1,0,0,0
2.0,0.267,0.53,0.47,0.0,69.99,12.0,70.0,90.0,1,15,5.0,0,0,0.0,0,320.0,0.0209,3150.0,2.3219,3,0.576,0.7,0.0207,0.0,0.54,0.65,6,0,0,1,0
2.0,0.267,0.14,0.82,0.04,349.78,21.0,50.0,90.0,0,0,0.0,1,40,4.0,0,347.5862,0.0183,2250.0,2.3219,13,0.5353,0.5,0.0236,0.0,0.71,0.48,6,1,0,0,0
0.22,0.113,0.73,0.27,0.0,121.18,11.0,90.0,70.0,0,0,0.0,1,20,2.0,0,246.8571,0.0365,3150.0,2.3219,27,0.1262,0.5,0.0133,0.0,0.27,0.48,3,0,0,1,0
0.22,0.113,0.39,0.61,0.0,186.64,9.0,90.0,90.0,1,70,3.0,0,0,0.0,0,328.6957,0.032,4050.0,2.3219,11,0.4898,0.6,0.0136,0.0,0.69,0.51,12,1,0,0,0
1.1,0.625,0.73,0.17,0.1,34.17,10.0,70.0,90.0,0,0,0.0,1,40,6.0,0,327.2727,0.0197,3150.0,2.3219,7,0.6214,0.6,0.0165,0.0,0.0,0.0,0,0,0,1,0
0.22,0.113,0.55,0.45,0.0,57.72,2.0,70.0,70.0,1,30,5.0,0,0,0.0,0,360.0,0.0203,2450.0,2.3219,1,0.4731,0.0,0.0,1.0,0.6,0.6,9,0,0,1,0
1.1,0.625,0.52,0.48,0.0,39.08,5.0,70.0,90.0,1,30,4.0,0,0,0.0,0,90.0,0.0258,3150.0,2.3219,4,0.4694,0.5,0.0041,0.0,0.62,0.52,6,1,0,0,0
2.0,0.267,0.23,0.7,0.07,59.99,22.0,90.0,70.0,0,0,0.0,1,30,6.0,0,326.0377,0.0213,3150.0,2.3219,12,0.594,0.7,0.0192,0.0,0.27,0.71,3,1,0,0,0
2.0,0.267,0.57,0.43,0.0,68.42,9.0,70.0,70.0,1,45,5.0,0,0,0.0,0,360.0,0.0243,2450.0,2.3219,3,0.3388,0.7,0.0056,0.0,0.59,0.38,9,0,0,1,0
0.22,0.113,0.28,0.72,0.0,247.9,7.0,50.0,90.0,0,0,0.0,1,30,2.0,0,116.7568,0.0265,2250.0,2.3219,27,0.2091,0.5,0.4842,0.0064,0.56,0.5,9,1,0,0,0
2.0,0.267,0.33,0.67,0.0,48.35,14.0,50.0,70.0,0,0,0.0,1,10,6.0,0,180.0,0.0172,1750.0,2.3219,3,0.3689,1.0,0.0028,0.0,0.7,0.53,6,1,0,0,0
2.0,0.267,0.6,0.4,0.0,204.71,12.0,90.0,50.0,0,0,0.0,1,10,2.0,0,144.0,0.0273,2250.0,2.3219,16,0.1091,0.6,0.0076,0.0,0.59,0.51,6,1,0,0,0
0.22,0.113,0.8,0.17,0.03,83.87,9.0,70.0,70.0,1,45,5.0,0,0,0.0,0,180.0,0.0237,2450.0,2.3219,2,0.3708,0.0,0.0,1.0,0.29,0.47,3,1,0,0,0
0.22,0.113,1.0,0.0,0.0,1.9,0.0,50.0,90.0,0,0,0.0,1,30,6.0,0,332.3077,0.0126,2250.0,2.3219,10,0.7004,0.5,0.0237,0.0,0.0,0.0,0,0,0,1,0
