robot_max_speed,robot_radius,success_rate,collision_rate,average_collision_amount,timeout_rate,timeout_collision_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,dyn_obstacle_occupation,crowdnav,dwa,rlca,teb
0.22,0.113,0.57,0.43,5.9,0.0,0.03,110.9,5,70,70,0,0,0,1,10,4,0,130.9091,0.0275,2450.0,2.3219,10,0.1998,0.4,0.0129,0.0,0.49,0.8,3,2,0,0,1,0
2.0,0.267,0.63,0.37,0.53,0.0,0.13,33.33,8,70,50,0,0,0,1,30,4,0,216.0,0.0153,1750.0,2.3219,11,0.5103,0.6,0.0786,0.0003,0.31,0.43,2,1,1,0,0,0
1.1,0.625,0.27,0.73,1.5,0.0,0.0,19.37,2,90,50,0,0,0,1,20,6,0,240.0,0.0172,2250.0,2.3219,6,0.5591,0.5,0.0101,0.0,0.56,0.6,9,5,1,0,0,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,106.63,12,90,90,0,0,0,1,0,4,0,180.0,0.0454,4050.0,2.3219,2,0.044,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0
0.22,0.113,0.83,0.17,0.2,0.0,0.0,47.22,2,90,70,0,0,0,1,0,6,0,180.0,0.0366,3150.0,2.3219,2,0.0502,1.0,0.0002,0.0,0.56,0.44,6,3,0,0,1,0
0.22,0.113,0.4,0.6,1.6,0.0,0.13,82.79,11,70,50,0,0,0,1,40,2,0,112.5,0.02,1750.0,2.3219,16,0.3083,0.6,0.0264,0.0,0.39,0.57,6,3,1,0,0,0
2.0,0.267,1.0,0.0,0.0,0.0,0.0,93.57,8,90,50,0,0,0,1,0,6,0,180.0,0.0273,2250.0,2.3219,2,0.0613,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0
1.1,0.625,0.6,0.4,0.63,0.0,0.0,39.84,2,50,90,0,0,0,1,0,2,0,180.0,0.0273,2250.0,2.3219,2,0.0613,0.0,0.0,1.0,0.77,0.56,9,5,1,0,0,0
0.22,0.113,0.48,0.52,1.28,0.0,0.07,38.47,8,70,90,1,15,3,0,0,0,0,360.0,0.0146,3150.0,2.3219,2,0.7446,1.0,0.01,0.0,0.47,0.5,6,3,0,0,1,0
1.1,0.625,0.77,0.23,2.0,0.0,0.13,39.21,6,50,50,0,0,0,1,10,2,0,227.3684,0.0161,1250.0,2.3219,14,0.1736,0.4,0.0128,0.0,0.0,0.0,0,0,1,0,0,0
1.1,0.625,0.47,0.53,1.03,0.0,0.17,62.3,11,50,90,1,45,4,0,0,0,0,308.5714,0.0202,2250.0,2.3219,3,0.4142,0.7,0.0111,0.0,0.56,0.53,3,2,0,0,1,0
2.0,0.267,0.27,0.6,1.9,0.13,0.3,228.61,18,50,90,1,45,4,0,0,0,0,120.0,0.0223,2250.0,2.3219,8,0.3651,0.2,0.013,0.0,0.54,0.57,6,3,0,0,1,0
1.1,0.625,0.67,0.3,1.83,0.03,0.03,66.33,5,90,70,1,30,5,0,0,0,0,90.0,0.0279,3150.0,2.3219,5,0.3973,0.4,0.0087,0.0,0.74,0.53,3,2,0,0,1,0
1.1,0.625,0.17,0.83,3.0,0.0,0.07,101.83,7,90,50,1,70,3,0,0,0,0,270.0,0.0212,2250.0,2.3219,7,0.4289,0.7,0.0125,0.0,0.58,0.63,9,6,0,0,1,0
1.1,0.625,0.4,0.43,0.83,0.17,0.33,107.2,16,70,50,0,0,0,1,10,4,0,327.2727,0.0194,1750.0,2.3219,7,0.2869,0.6,0.0139,0.0,0.0,0.0,0,0,1,0,0,0
2.0,0.267,0.7,0.3,0.37,0.0,0.0,56.79,6,50,70,0,0,0,1,0,2,0,180.0,0.0219,1750.0,2.3219,2,0.0674,1.0,0.0004,0.0,0.58,0.52,6,3,1,0,0,0
2.0,0.267,0.37,0.6,1.0,0.03,0.5,41.8,18,70,70,1,45,4,0,0,0,0,288.0,0.0225,2450.0,2.3219,6,0.3943,0.5,0.0088,0.0,0.0,0.0,0,0,1,0,0,0
2.0,0.267,0.37,0.63,1.7,0.0,0.43,43.35,15,50,90,1,30,3,0,0,0,0,288.0,0.0187,2250.0,2.3219,3,0.5273,0.7,0.0134,0.0,0.38,0.8,3,2,1,0,0,0
2.0,0.267,0.2,0.8,2.33,0.0,0.37,95.7,17,90,70,1,30,4,0,0,0,0,360.0,0.0226,3150.0,2.3219,1,0.5421,0.0,0.0,1.0,0.49,0.73,9,7,0,0,1,0
0.22,0.113,0.38,0.62,6.76,0.0,0.07,115.76,5,90,50,1,70,3,0,0,0,0,150.0,0.0223,2250.0,2.3219,11,0.4093,0.5,0.0078,0.0,0.52,0.41,6,2,0,0,1,0
0.22,0.113,0.54,0.46,9.89,0.0,0.32,281.92,12,70,70,0,0,0,1,40,4,0,270.0,0.02,2450.0,2.3219,8,0.5414,0.4,0.0145,0.0,0.0,0.0,0,0,1,0,0,0
0.22,0.113,0.3,0.7,1.73,0.0,0.17,118.58,16,90,70,0,0,0,1,10,6,0,240.0,0.0307,3150.0,2.3219,3,0.2983,0.7,0.0035,0.0,0.6,0.66,6,4,0,0,1,0
2.0,0.267,0.1,0.9,6.3,0.0,0.53,414.75,22,90,90,0,0,0,1,40,4,0,308.5714,0.037,4050.0,2.3219,18,0.3846,0.5,0.0137,0.0,0.6,0.51,12,6,0,0,1,0
2.0,0.267,0.9,0.03,0.03,0.07,0.03,31.31,4,50,70,0,0,0,1,30,4,0,205.7143,0.0155,1750.0,2.3219,7,0.512,0.6,0.0191,0.0,0.0,0.0,0,0,1,0,0,0
1.1,0.625,0.33,0.67,1.93,0.0,0.43,65.18,16,70,90,0,0,0,1,40,4,0,245.4545,0.0277,3150.0,2.3219,13,0.451,0.5,0.0336,0.0,0.62,0.65,6,4,1,0,0,0
1.1,0.625,0.59,0.26,0.37,0.15,0.19,20.67,12,70,50,0,0,0,1,30,4,0,150.0,0.0151,1750.0,2.3219,12,0.518,0.6,0.0161,0.0,0.0,0.0,0,0,1,0,0,0
2.0,0.267,0.8,0.2,0.27,0.0,0.13,89.96,10,90,90,0,0,0,1,10,4,0,180.0,0.0437,4050.0,2.3219,16,0.1396,0.5,0.0091,0.0,0.0,0.0,0,0,0,0,1,0
2.0,0.267,0.3,0.43,1.0,0.27,0.2,204.79,19,90,90,1,15,4,0,0,0,0,360.0,0.0234,4050.0,2.3219,1,0.6496,0.0,0.0,1.0,0.64,0.33,4,1,0,0,1,0
2.0,0.267,0.47,0.1,0.2,0.43,0.07,197.93,15,50,50,1,45,4,0,0,0,0,360.0,0.0151,1250.0,2.3219,2,0.2932,1.0,0.0029,0.0,0.0,0.0,0,0,1,0,0,0
2.0,0.267,0.53,0.47,0.83,0.0,0.17,69.99,12,70,90,1,15,5,0,0,0,0,320.0,0.0209,3150.0,2.3219,3,0.576,0.7,0.0207,0.0,0.54,0.65,6,4,0,0,1,0
2.0,0.267,0.14,0.82,5.36,0.04,0.57,349.78,21,50,90,0,0,0,1,40,4,0,347.5862,0.0183,2250.0,2.3219,13,0.5353,0.5,0.0236,0.0,0.71,0.48,6,3,1,0,0,0
0.22,0.113,0.73,0.27,0.37,0.0,0.07,121.18,11,90,70,0,0,0,1,20,2,0,246.8571,0.0365,3150.0,2.3219,27,0.1262,0.5,0.0133,0.0,0.27,0.48,3,1,0,0,1,0
0.22,0.113,0.39,0.61,12.43,0.0,0.14,186.64,9,90,90,1,70,3,0,0,0,0,328.6957,0.032,4050.0,2.3219,11,0.4898,0.6,0.0136,0.0,0.69,0.51,12,6,1,0,0,0
1.1,0.625,0.73,0.17,0.3,0.1,0.17,34.17,10,70,90,0,0,0,1,40,6,0,327.2727,0.0197,3150.0,2.3219,7,0.6214,0.6,0.0165,0.0,0.0,0.0,0,0,0,0,1,0
0.22,0.113,0.55,0.45,2.69,0.0,0.03,57.72,2,70,70,1,30,5,0,0,0,0,360.0,0.0203,2450.0,2.3219,1,0.4731,0.0,0.0,1.0,0.6,0.6,9,5,0,0,1,0
1.1,0.625,0.52,0.48,1.1,0.0,0.03,39.08,5,70,90,1,30,4,0,0,0,0,90.0,0.0258,3150.0,2.3219,4,0.4694,0.5,0.0041,0.0,0.62,0.52,6,3,1,0,0,0
2.0,0.267,0.23,0.7,1.83,0.07,0.63,59.99,22,90,70,0,0,0,1,30,6,0,326.0377,0.0213,3150.0,2.3219,12,0.594,0.7,0.0192,0.0,0.27,0.71,3,2,1,0,0,0
2.0,0.267,0.57,0.43,0.73,0.0,0.0,68.42,9,70,70,1,45,5,0,0,0,0,360.0,0.0243,2450.0,2.3219,3,0.3388,0.7,0.0056,0.0,0.59,0.38,9,3,0,0,1,0
0.22,0.113,0.28,0.72,7.69,0.0,0.1,247.9,7,50,90,0,0,0,1,30,2,0,116.7568,0.0265,2250.0,2.3219,27,0.2091,0.5,0.4842,0.0064,0.56,0.5,9,4,1,0,0,0
2.0,0.267,0.33,0.67,1.37,0.0,0.33,48.35,14,50,70,0,0,0,1,10,6,0,180.0,0.0172,1750.0,2.3219,3,0.3689,1.0,0.0028,0.0,0.7,0.53,6,3,1,0,0,0
2.0,0.267,0.6,0.4,0.57,0.0,0.07,204.71,12,90,50,0,0,0,1,10,2,0,144.0,0.0273,2250.0,2.3219,16,0.1091,0.6,0.0076,0.0,0.59,0.51,6,3,1,0,0,0
0.22,0.113,0.8,0.17,0.3,0.03,0.0,83.87,9,70,70,1,45,5,0,0,0,0,180.0,0.0237,2450.0,2.3219,2,0.3708,0.0,0.0,1.0,0.29,0.47,3,1,1,0,0,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,1.9,0,50,90,0,0,0,1,30,6,0,332.3077,0.0126,2250.0,2.3219,10,0.7004,0.5,0.0237,0.0,0.0,0.0,0,0,0,0,1,0
2.0,0.267,0.17,0.3,1.43,0.53,0.27,237.17,26,90,50,1,45,4,0,0,0,0,144.0,0.0235,2250.0,2.3219,6,0.3222,0.8,0.0035,0.0,0.6,0.32,3,1,0,0,1,0
2.0,0.267,0.23,0.33,0.53,0.43,0.27,259.21,22,50,70,0,0,0,1,10,4,0,154.2857,0.0198,1750.0,2.3219,7,0.2591,0.3,0.0189,0.0,0.6,0.55,2,1,1,0,0,0
2.0,0.267,0.57,0.43,0.6,0.0,0.0,104.33,11,90,90,0,0,0,1,0,4,0,180.0,0.0454,4050.0,2.3219,2,0.044,0.0,0.0,1.0,0.44,0.47,12,6,0,0,1,0
2.0,0.267,0.17,0.67,2.03,0.17,0.5,645.32,24,90,90,0,0,0,1,10,2,0,280.0,0.0455,4050.0,2.3219,19,0.0738,0.6,0.0127,0.0,0.67,0.56,12,7,0,0,1,0
0.22,0.113,0.17,0.83,21.07,0.0,0.45,341.72,15,90,50,0,0,0,1,30,4,0,308.5714,0.0201,2250.0,2.3219,11,0.4678,0.5,0.0144,0.0,0.35,0.66,3,2,0,0,1,0
1.1,0.625,0.45,0.55,11.07,0.0,0.28,175.98,9,50,50,0,0,0,1,10,6,0,288.0,0.0104,1250.0,2.3219,4,0.5444,0.5,0.1828,0.0007,0.35,0.41,4,2,1,0,0,0
1.1,0.625,0.47,0.53,0.9,0.0,0.0,54.99,4,50,50,1,70,3,0,0,0,0,360.0,0.014,1250.0,2.3219,1,0.326,0.0,0.0,1.0,0.7,0.58,6,4,0,0,1,0
2.0,0.267,0.4,0.6,1.7,0.0,0.27,118.24,14,50,50,0,0,0,1,0,4,0,180.0,0.0163,1250.0,2.3219,2,0.0784,1.0,0.0004,0.0,0.33,0.54,6,3,1,0,0,0
1.1,0.625,0.73,0.27,0.3,0.0,0.0,73.64,8,90,50,1,70,5,0,0,0,0,216.0,0.0253,2250.0,2.3219,4,0.2264,0.5,0.0062,0.0,0.34,0.68,3,2,0,0,1,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,1.78,0,70,70,1,70,4,0,0,0,0,216.0,0.0251,2450.0,2.3219,7,0.3276,0.4,0.0079,0.0,0.0,0.0,0,0,1,0,0,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,18.24,4,90,90,0,0,0,1,0,6,0,180.0,0.0454,4050.0,2.3219,2,0.044,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,22.51,2,90,90,0,0,0,1,0,4,0,180.0,0.0454,4050.0,2.3219,2,0.044,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0
0.22,0.113,0.5,0.5,0.5,0.0,0.0,45.05,4,70,70,1,45,3,0,0,0,0,180.0,0.023,2450.0,2.3219,5,0.4255,0.6,0.0155,0.0,0.3,0.38,9,3,0,1,0,0
0.22,0.113,0.6,0.4,0.4,0.0,0.0,62.93,5,70,70,1,45,3,0,0,0,0,308.5714,0.0207,2450.0,2.3219,5,0.4988,0.6,0.0089,0.0,0.3,0.51,9,5,0,1,0,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,5.17,5,90,70,0,0,0,1,30,3,0,216.0,0.0336,3150.0,2.3219,23,0.2537,0.6,0.013,0.0,0.0,0.0,0,0,0,1,0,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,37.63,3,90,70,0,0,0,1,30,3,0,265.2632,0.0336,3150.0,2.3219,25,0.2511,0.5,0.012,0.0,0.3,0.7,9,6,0,1,0,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,172.04,2,70,70,0,0,0,1,30,2,0,58.3784,0.0289,2450.0,2.3219,31,0.1851,0.6,0.0135,0.0,0.3,0.7,6,4,0,1,0,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,57.89,5,50,90,0,0,0,1,30,2,0,123.4286,0.0266,2250.0,2.3219,23,0.2156,0.6,0.0205,0.0,0.3,0.37,9,3,0,1,0,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,26.59,2,70,90,0,0,0,1,40,2,0,42.3529,0.0359,3150.0,2.3219,43,0.1927,0.5,0.0176,0.0,0.3,0.41,9,4,0,1,0,0
0.22,0.113,0.0,1.0,2.0,0.0,0.0,237.78,12,50,90,1,30,3,0,0,0,0,72.0,0.0168,2250.0,2.3219,10,0.5729,0.4,0.011,0.0,0.3,0.42,6,3,0,0,1,0
0.22,0.113,0.29,0.7,7.47,0.01,0.12,186.31,8,70,70,0,0,0,1,40,2,0,160.0,0.0283,2450.0,2.3219,32,0.2347,0.5,0.0135,0.0,0.84,0.64,6,4,1,0,0,0
2.0,0.267,0.5,0.5,0.73,0.0,0.23,61.25,13,70,50,1,70,4,0,0,0,0,120.0,0.0206,1750.0,2.3219,5,0.254,0.6,0.0087,0.0,0.77,0.41,6,2,0,0,1,0
2.0,0.267,0.23,0.67,2.3,0.1,0.3,162.0,17,50,90,0,0,0,1,30,2,0,234.4186,0.0266,2250.0,2.3219,29,0.2193,0.6,0.0195,0.0,0.64,0.42,6,3,0,0,1,0
0.22,0.113,0.21,0.79,32.24,0.0,0.62,502.4,20,90,70,0,0,0,1,40,6,0,280.0,0.0203,3150.0,2.3219,6,0.6243,0.3,0.0193,0.0,0.69,0.45,9,4,1,0,0,0
2.0,0.267,0.5,0.5,1.31,0.0,0.35,21.99,11,50,70,0,0,0,1,40,6,0,276.9231,0.0096,1750.0,2.3219,8,0.732,0.5,0.0587,0.0,0.56,0.52,4,2,0,0,1,0
2.0,0.267,0.47,0.53,1.7,0.0,0.17,137.87,9,50,90,0,0,0,1,40,2,0,102.8571,0.0262,2250.0,2.3219,37,0.2498,0.6,0.0196,0.0,0.71,0.72,6,4,0,0,1,0
0.22,0.113,0.27,0.73,12.87,0.0,0.1,203.12,7,90,50,1,30,4,0,0,0,0,327.2727,0.0213,2250.0,2.3219,5,0.4327,0.8,0.0093,0.0,0.6,0.51,9,5,1,0,0,0
0.22,0.113,0.57,0.43,0.9,0.0,0.1,99.34,12,70,90,1,45,5,0,0,0,0,240.0,0.0324,3150.0,2.3219,4,0.2619,0.5,0.0072,0.0,0.66,0.5,9,4,1,0,0,0
2.0,0.267,0.48,0.52,0.69,0.0,0.1,65.73,10,70,70,1,70,5,0,0,0,0,360.0,0.0272,2450.0,2.3219,1,0.2484,0.0,0.0,1.0,0.53,0.48,9,4,0,0,1,0
0.22,0.113,0.0,1.0,22.0,0.0,0.0,423.84,29,50,70,0,0,0,1,40,2,0,65.4545,0.0202,1750.0,2.3219,22,0.3149,0.5,0.0168,0.0,0.72,0.43,4,2,1,0,0,0
2.0,0.267,0.53,0.47,0.73,0.0,0.17,46.98,9,70,50,1,70,3,0,0,0,0,360.0,0.0195,1750.0,2.3219,5,0.3154,0.6,0.0077,0.0,0.51,0.69,6,4,1,0,0,0
2.0,0.267,0.73,0.27,0.37,0.0,0.03,36.11,4,50,50,1,70,3,0,0,0,0,120.0,0.015,1250.0,2.3219,6,0.2964,0.3,0.0078,0.0,0.64,0.62,6,4,0,0,1,0
0.22,0.113,0.21,0.79,22.17,0.0,0.28,474.32,15,70,70,0,0,0,1,40,6,0,140.0,0.0133,2450.0,2.3219,17,0.7129,0.5,0.0497,0.0001,0.69,0.65,9,6,0,0,1,0
2.0,0.267,0.23,0.5,1.27,0.27,0.37,261.65,23,50,90,1,70,4,0,0,0,0,102.8571,0.0248,2250.0,2.3219,8,0.2691,0.8,0.016,0.0,0.59,0.61,6,4,0,0,1,0
2.0,0.267,0.55,0.45,2.21,0.0,0.17,100.9,5,70,70,0,0,0,1,40,6,0,308.5714,0.0128,2450.0,2.3219,8,0.7273,0.6,0.0833,0.0003,0.77,0.7,6,4,1,0,0,0
0.22,0.113,0.23,0.77,5.0,0.0,0.47,149.35,19,70,70,0,0,0,1,30,4,0,297.931,0.0214,2450.0,2.3219,11,0.4873,0.5,0.0157,0.0,0.58,0.65,9,6,1,0,0,0
0.22,0.113,0.34,0.66,1.59,0.0,0.03,116.56,12,90,50,1,45,4,0,0,0,0,180.0,0.0231,2250.0,2.3219,10,0.3593,0.6,0.0093,0.0,0.72,0.51,9,5,0,0,1,0
0.22,0.113,0.34,0.66,17.76,0.0,0.21,271.92,12,90,70,1,30,4,0,0,0,0,270.0,0.0254,3150.0,2.3219,4,0.4868,0.5,0.0089,0.0,0.63,0.54,6,3,1,0,0,0
2.0,0.267,0.57,0.43,0.8,0.0,0.2,52.45,10,50,50,1,45,3,0,0,0,0,120.0,0.0143,1250.0,2.3219,4,0.3196,0.5,0.006,0.0,0.66,0.32,4,1,0,0,1,0
0.22,0.113,0.77,0.23,0.7,0.0,0.0,46.53,2,70,50,1,30,5,0,0,0,0,180.0,0.0183,1750.0,2.3219,2,0.3526,0.0,0.0,1.0,0.61,0.6,6,4,1,0,0,0
2.0,0.267,0.3,0.7,1.63,0.0,0.57,59.78,20,70,70,0,0,0,1,40,4,0,225.0,0.0211,2450.0,2.3219,7,0.4859,0.6,0.0121,0.0,0.64,0.6,6,4,1,0,0,0
2.0,0.267,0.6,0.4,0.87,0.0,0.13,50.41,8,50,90,1,70,3,0,0,0,0,216.0,0.0223,2250.0,2.3219,9,0.378,0.4,0.0144,0.0,0.68,0.5,9,4,1,0,0,0
2.0,0.267,0.13,0.73,2.63,0.13,0.57,92.91,21,90,70,0,0,0,1,40,6,0,229.0909,0.0196,3150.0,2.3219,10,0.6454,0.5,0.0284,0.0001,0.6,0.58,9,5,1,0,0,0
0.22,0.113,0.31,0.66,2.0,0.03,0.21,46.32,10,50,70,0,0,0,1,40,4,0,160.0,0.0133,1750.0,2.3219,14,0.6103,0.6,0.0288,0.0,0.59,0.56,6,3,0,0,1,0
2.0,0.267,0.2,0.7,3.13,0.1,0.3,320.06,21,90,90,0,0,0,1,30,6,0,308.5714,0.0309,4050.0,2.3219,4,0.4922,0.5,0.0066,0.0,0.63,0.42,12,5,0,0,1,0
0.22,0.113,0.23,0.77,18.6,0.0,0.33,394.65,13,70,70,0,0,0,1,30,4,0,268.0851,0.0223,2450.0,2.3219,15,0.4494,0.5,0.0167,0.0,0.67,0.49,9,4,0,0,1,0
0.22,0.113,0.23,0.77,19.73,0.0,0.4,394.06,14,90,50,0,0,0,1,40,6,0,332.3077,0.0135,2250.0,2.3219,8,0.6798,0.5,0.0149,0.0,0.76,0.51,6,3,1,0,0,0
2.0,0.267,0.23,0.77,2.77,0.0,0.57,171.31,22,70,90,1,70,3,0,0,0,0,144.0,0.0283,3150.0,2.3219,8,0.4348,0.6,0.0138,0.0,0.64,0.8,9,7,1,0,0,0
0.22,0.113,0.4,0.6,1.47,0.0,0.17,71.18,11,70,70,1,30,4,0,0,0,0,90.0,0.0223,2450.0,2.3219,4,0.4145,0.5,0.0062,0.0,0.71,0.55,9,5,0,0,1,0
0.22,0.113,0.63,0.37,1.23,0.0,0.0,47.31,2,50,90,1,45,5,0,0,0,0,90.0,0.0239,2250.0,2.3219,4,0.2704,1.0,0.0173,0.0,0.79,0.62,6,4,0,0,1,0
2.0,0.267,0.67,0.33,0.88,0.0,0.0,5.72,0,50,50,0,0,0,1,30,6,0,324.0,0.0059,1250.0,2.3219,3,0.77,1.0,0.0147,0.0,0.61,0.43,6,3,1,0,0,0
2.0,0.267,0.83,0.17,0.17,0.0,0.0,58.57,5,50,50,1,70,5,0,0,0,0,180.0,0.0158,1250.0,2.3219,2,0.2232,0.0,0.0,1.0,0.72,0.53,4,2,1,0,0,0
2.0,0.267,0.23,0.77,3.17,0.0,0.37,95.19,16,70,70,0,0,0,1,30,6,0,120.0,0.0173,2450.0,2.3219,3,0.591,1.0,0.0018,0.0,0.65,0.67,9,6,0,0,1,0
0.22,0.113,0.83,0.17,0.23,0.0,0.0,58.85,2,90,50,1,70,5,0,0,0,0,180.0,0.0259,2250.0,2.3219,2,0.1918,0.0,0.0,1.0,0.6,0.51,6,3,0,0,1,0
2.0,0.267,0.33,0.6,1.3,0.07,0.27,157.59,13,90,50,1,45,4,0,0,0,0,288.0,0.0215,2250.0,2.3219,4,0.4067,0.8,0.01,0.0,0.64,0.42,9,4,0,0,1,0
2.0,0.267,0.2,0.63,1.8,0.17,0.43,190.88,21,70,70,1,70,3,0,0,0,0,288.0,0.0243,2450.0,2.3219,12,0.3657,0.4,0.0145,0.0,0.69,0.47,6,3,1,0,0,0
2.0,0.267,0.33,0.67,1.23,0.0,0.27,63.81,14,70,70,0,0,0,1,30,2,0,50.2326,0.0287,2450.0,2.3219,39,0.199,0.5,0.0146,0.0,0.62,0.62,9,6,1,0,0,0
0.22,0.113,0.53,0.4,1.0,0.07,0.0,93.11,11,70,90,0,0,0,1,40,2,0,56.0,0.0357,3150.0,2.3219,43,0.1979,0.5,0.0166,0.0,0.68,0.47,6,3,0,0,1,0
0.22,0.113,0.57,0.43,1.5,0.0,0.0,49.6,2,90,70,1,70,5,0,0,0,0,360.0,0.0318,3150.0,2.3219,2,0.2825,1.0,0.0071,0.0,0.63,0.64,9,6,0,0,1,0
2.0,0.267,0.1,0.5,1.5,0.4,0.4,254.75,26,70,90,0,0,0,1,40,2,0,144.0,0.0357,3150.0,2.3219,33,0.1951,0.5,0.0175,0.0,0.66,0.33,6,2,1,0,0,0
0.22,0.113,0.24,0.76,1.83,0.0,0.03,104.66,9,70,70,1,30,3,0,0,0,0,288.0,0.0187,2450.0,2.3219,3,0.5453,0.7,0.0059,0.0,0.76,0.6,9,5,1,0,0,0
2.0,0.267,0.5,0.5,0.87,0.0,0.17,59.24,9,70,50,1,70,4,0,0,0,0,180.0,0.0204,1750.0,2.3219,4,0.2406,1.0,0.008,0.0,0.56,0.5,6,3,0,0,1,0
0.22,0.113,0.43,0.57,11.37,0.0,0.1,165.85,7,90,70,1,45,4,0,0,0,0,284.2105,0.0283,3150.0,2.3219,8,0.3994,0.9,0.0081,0.0,0.67,0.58,9,5,1,0,0,0
0.22,0.113,0.23,0.77,4.03,0.0,0.53,127.63,19,70,70,0,0,0,1,40,4,0,270.0,0.0205,2450.0,2.3219,11,0.5016,0.5,0.0244,0.0,0.7,0.58,9,5,1,0,0,0
2.0,0.267,0.7,0.3,0.3,0.0,0.07,59.73,8,70,50,1,45,5,0,0,0,0,180.0,0.0184,1750.0,2.3219,3,0.3163,1.0,0.0058,0.0,0.6,0.41,4,2,0,0,1,0
2.0,0.267,0.17,0.73,3.2,0.1,0.47,243.85,21,90,90,0,0,0,1,40,6,0,270.0,0.0288,4050.0,2.3219,7,0.5454,0.3,0.0131,0.0,0.7,0.71,8,6,1,0,0,0
2.0,0.267,0.23,0.73,2.67,0.03,0.23,57.47,12,50,50,0,0,0,1,40,2,0,84.7059,0.0141,1250.0,2.3219,20,0.396,0.5,0.0128,0.0,0.64,0.53,6,3,0,0,1,0
2.0,0.267,0.27,0.7,6.9,0.03,0.57,302.52,21,90,70,0,0,0,1,40,4,0,305.4545,0.0279,3150.0,2.3219,13,0.444,0.6,0.0128,0.0,0.6,0.53,6,3,0,0,1,0
