robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb,0
0.22,0.113,0.76,0.24,0,36.81,285000000000,50,50,1,70,5,0,0,0,0,180,0.0156,1250,2.3219,2,0.212,0,0,1,0.47,0.58,6,0,0,1,0,0.435059522
0.22,0.113,0.23,0.77,0,181.44,1704740000000,90,90,1,45,3,0,0,0,0,227.3684,0.0287,4050,2.3219,11,0.5577,0.5,0.0105,0,0.41,0.52,4,0,0,1,0,0.532933013
0.22,0.113,0.47,0.53,0,138.34,1303860000000,90,90,1,70,5,0,0,0,0,360,0.0368,4050,2.3219,2,0.3488,1,0.0135,0,0.59,0.57,12,0,0,1,0,0.950471858
0.22,0.113,0.21,0.79,0,282.36,2900000000000,70,70,1,15,4,0,0,0,0,360,0.0151,2450,2.3219,1,0.6476,0,0,1,0,0,0,0,0,1,0,0.515559531
1.1,0.625,0.66,0.34,0,47.77,636097000000,50,50,1,15,5,0,0,0,0,180,0.0102,1250,2.3219,2,0.5264,1,0.0023,0,0.57,0.64,4,0,0,1,0,0.137365334
1.1,0.625,0.53,0.47,0,80.37,1290000000000,70,70,1,45,4,0,0,0,0,120,0.0247,2450,2.3219,10,0.3714,0.4,0.0096,0,0,0,0,0,0,1,0,0.124721145
2,0.267,0.03,0.63,0.33,199.32,5800000000000,70,70,1,70,5,0,0,0,0,180,0.027,2450,2.3219,2,0.2349,0,0,1,0.33,0.63,6,0,0,1,0,0.311233309
2,0.267,0.17,0.83,0,269.55,3140000000000,70,70,1,45,3,0,0,0,0,200,0.0223,2450,2.3219,9,0.4498,0.6,0.0361,0,0.4,0.6,6,0,0,1,0,0.847742309
1.1,0.625,0,1,0,768.06,4820000000000,90,90,1,15,4,0,0,0,0,360,0.0234,4050,2.3219,1,0.6493,0,0,1,0.53,0.55,8,0,0,1,0,0.69842648
0.22,0.113,0.23,0.77,0,298.89,2700000000000,70,70,1,45,3,0,0,0,0,300,0.0228,2450,2.3219,10,0.4496,0.3,0.0322,0.0001,0,0,0,0,0,1,0,0.664801052
0.22,0.113,0.07,0.93,0,439.35,4500000000000,90,90,1,15,5,0,0,0,0,144,0.027,4050,2.3219,5,0.5699,0.8,0.004,0,0.58,0.53,12,0,0,1,0,0.335889786
