robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0.52,0.48,0,49.93,1230000000000,50,50,1,30,3,0,0,0,0,120,0.0128,1250,2.3219,4,0.4024,0.5,0.0075,0,0.54,0.66,4,1,0,0,0
0.22,0.113,0.7,0.3,0,74.81,1820000000000,70,70,1,30,5,0,0,0,0,180,0.0219,2450,2.3219,3,0.4131,1,0.0086,0,0.88,0.85,3,1,0,0,0
0.22,0.113,0,0.83,0.17,68.32,5940000000000,70,70,1,30,3,0,0,0,0,360,0.0215,2450,2.3219,2,0.4812,1,0.0147,0,0.56,0.5,3,1,0,0,0
0.22,0.113,0.43,0.57,0,136.46,2770000000000,90,90,1,30,5,0,0,0,0,257.1429,0.0307,4050,2.3219,4,0.4842,0.5,0.0317,0,0.49,0.5,12,1,0,0,0
0.22,0.113,0.03,0.93,0.03,240.15,4610000000000,90,90,1,70,3,0,0,0,0,171.4286,0.0354,4050,2.3219,17,0.4304,0.5,0.0096,0,0.56,0.56,12,1,0,0,0
0.22,0.113,0.27,0.73,0,121.19,3270000000000,90,90,1,30,4,0,0,0,0,216,0.0267,4050,2.3219,4,0.577,0.5,0.007,0,0.58,0.55,4,1,0,0,0
0.22,0.113,0.63,0.33,0.03,58.96,1650000000000,50,50,1,30,3,0,0,0,0,90,0.0132,1250,2.3219,4,0.4168,0.5,0.005,0,0.59,0.55,2,1,0,0,0
0.22,0.113,0.9,0.1,0,91.01,1680000000000,70,70,1,70,5,0,0,0,0,360,0.0276,2450,2.3219,2,0.2133,1,0.0052,0,0,0,0,1,0,0,0
0.22,0.113,0.52,0.48,0,47.68,1440000000000,50,50,1,15,3,0,0,0,0,90,0.0097,1250,2.3219,4,0.584,0.5,0.0059,0,0.61,0.67,6,1,0,0,0
0.22,0.113,0.5,0.43,0.07,160.38,3930000000000,90,90,1,45,4,0,0,0,0,284.2105,0.035,4050,2.3219,9,0.4281,0.8,0.01,0,0,0,0,1,0,0,0
0.22,0.113,0.3,0.6,0.1,116.61,4340560000000,70,90,0,0,0,1,40,2,0,72,0.0359,3150,2.3219,47,0.1948,0.6,0.0153,0,0,0,0,1,0,0,0
0.22,0.113,0.93,0.07,0,31.73,526000000000,50,50,1,15,3,0,0,0,0,180,0.01,1250,2.3219,2,0.5576,0,0,1,0.67,0.5,2,1,0,0,0
