episode_duration,success_rate,collision_rate,robot_radius,robot_max_speed,number_dynamic_obs,number_static_obs,robot_pos_x,robot_pos_y,burger,jackal,ridgeback,agvota,rto,rto_real,teb,dwa,mpc,rlca,arena,rosnav,num_vertices_static_obs_0,num_vertices_static_obs_1,num_vertices_static_obs_2,num_vertices_static_obs_3,num_vertices_static_obs_4,num_vertices_static_obs_5,num_vertices_static_obs_6,num_vertices_static_obs_7,num_vertices_static_obs_8,num_vertices_static_obs_9,num_vertices_static_obs_10,num_vertices_static_obs_11,num_vertices_static_obs_12,num_vertices_static_obs_13,num_vertices_static_obs_14,size_dynamic_obs_0,size_dynamic_obs_1,size_dynamic_obs_2,size_dynamic_obs_3,size_dynamic_obs_4,size_dynamic_obs_5,size_dynamic_obs_6,size_dynamic_obs_7,size_dynamic_obs_8,size_dynamic_obs_9,size_dynamic_obs_10,size_dynamic_obs_11,size_dynamic_obs_12,size_dynamic_obs_13,size_dynamic_obs_14,speed_dynamic_obs_0,speed_dynamic_obs_1,speed_dynamic_obs_2,speed_dynamic_obs_3,speed_dynamic_obs_4,speed_dynamic_obs_5,speed_dynamic_obs_6,speed_dynamic_obs_7,speed_dynamic_obs_8,speed_dynamic_obs_9,speed_dynamic_obs_10,speed_dynamic_obs_11,speed_dynamic_obs_12,speed_dynamic_obs_13,speed_dynamic_obs_14,timeout_rate,path_length,map,robot_model,AngleInfo,Entropy,MapSize,MaxEntropy,NumObs_Cv2,OccupancyRatio,distance(normalized),distance.avg,distance.variance,World
297.95,0.9,0,0.113,0.22,5,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.1,65.5911654722,0a033682-63be-4b26-a67f-08a262242c57,burger,180,0.0392345776,5000,2.3219280949,8,0.4781,0.4,0.00858,0,0a033682-63be-4b26-a67f-08a262242c57
202.7,0.8,0.05,0.113,0.22,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,26.2768642756,0a083c0d-fffc-4411-b10c-d26923f40a3e,burger,180,0.0079038325,1800,2.3219280949,2,0.775,1,0.00018,0,0a083c0d-fffc-4411-b10c-d26923f40a3e
312.965,0.9,0,0.113,0.22,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,70.162159955,0a0ab7f9-c4db-4533-bda8-74661c5fc0dd,burger,229.0909090909,0.0389769355,5000,2.3219280949,9,0.4844,0.6,0.02251,1E-05,0a0ab7f9-c4db-4533-bda8-74661c5fc0dd
150.415,0.8,0.15,0.113,0.22,10,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.05,26.7383104939,0aaac062-28b1-495a-a41d-e82d993b398a,burger,90,0.0098952951,800,2.3219280949,6,0.320625,0.7,0.00662,0,0aaac062-28b1-495a-a41d-e82d993b398a
211.3,1,0,0.113,0.22,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,46.0795525075,0b5fa9d4-094c-4c31-b302-43f680519c87,burger,240,0.0230687805,3200,2.3219280949,3,0.5721875,0.7,0.00572,0,0b5fa9d4-094c-4c31-b302-43f680519c87
195.31,1,0,0.113,0.22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2290788294,0b940cb8-3846-4b72-8efc-782fe9addfc6,burger,110.7692307692,0.0318941195,3200,2.3219280949,12,0.36953125,0.6,0.01094,0,0b940cb8-3846-4b72-8efc-782fe9addfc6
292.53,0.45,0.25,0.113,0.22,10,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.35,25.4263703206,0cbfddb6-d1c7-433b-8fb7-1839103b498f,burger,180,0.0080830786,1800,2.3219280949,2,0.7730555556,1,0.00016,0,0cbfddb6-d1c7-433b-8fb7-1839103b498f
290.43,0.7,0.05,0.113,0.22,5,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.25,44.8764614093,0cfc4ee3-3d7f-4027-9c57-dfdc49e5e574,burger,240,0.024032652,3200,2.3219280949,5,0.54703125,0.4,0.00985,0,0cfc4ee3-3d7f-4027-9c57-dfdc49e5e574
210.49,0.9,0.1,0.113,0.22,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,52.3655053597,0d0e19af-5d65-43f9-852f-77e4ccfceae9,burger,120,0.0308068116,5000,2.3219280949,6,0.6156,0.3,0.00463,0,0d0e19af-5d65-43f9-852f-77e4ccfceae9
205.445,0.9,0.1,0.113,0.22,15,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,51.9345819539,0d3e85e5-b34d-4d28-b233-0685b16409a2,burger,272.4324324324,0.0403648629,5000,2.3219280949,12,0.4621,0.4,0.01331,0,0d3e85e5-b34d-4d28-b233-0685b16409a2
